Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,30.0,ourcutefindsuk,our cute finds 🧸✨,2.2K,£25.5K,1.7K,516,1.2%,Textiles & Soft Furnishings,False,Low average views (516) | Growing audience (2.2K)
2,26.0,brittany.g61,Brittany,2.1K,£11.7K,675,385,0.4%,Textiles & Soft Furnishings,False,Low average views (385) | Low engagement (0.4%) | Growing audience (2.1K)
3,26.0,tommylogs,tommylogs,1.7K,£12K,944,524,0.3%,Textiles & Soft Furnishings,False,Low average views (524) | Low engagement (0.3%) | Growing audience (1.7K)
4,22.0,melliegibbo74,Mellie G,17K,£36.6K,3K,697,2.5%,Womenswear & Underwear,False,Low average views (697)
5,21.0,nicola.henny20,Nicola Henshall,4.3K,£25.4K,2.9K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
6,21.0,thegirlybuys,thegirlybuys,4.2K,£41.5K,2.6K,1.3K,0.7%,Beauty & Personal Care,False,Low engagement (0.7%) | Growing audience (4.2K)
7,18.0,cocokourts,✨CocoKourts✨,11.3K,£10.8K,592,370,0.7%,Home Supplies,False,Low average views (370) | Low engagement (0.7%)
8,18.0,aybecky3,Aybecky3,26.3K,£46.4K,2.3K,938,0.8%,Home Supplies,False,Low average views (938) | Low engagement (0.8%)
9,16.0,javierabbas31,javierabbas31,1.4K,£18.8K,2.4K,527,0.6%,Home Supplies,False,Low average views (527) | Low engagement (0.6%) | Growing audience (1.4K)
10,16.0,nightsguys,nightsguys,5.1K,£13.1K,301,459,0.2%,Household Appliances,False,Low average views (459) | Low engagement (0.2%) | Growing audience (5.1K)
11,16.0,rachmatoba_reviews,Rachmatoba reviews,2.2K,£16.5K,1.3K,502,0.5%,Household Appliances,False,Low average views (502) | Low engagement (0.5%) | Growing audience (2.2K)
12,16.0,esxx.ldw.6362,Rr68392,4.8K,£19.6K,1.3K,571,0.3%,Furniture,False,Low average views (571) | Low engagement (0.3%) | Growing audience (4.8K)
13,16.0,glowwithme751,cosmetics corner ✨💅,1.9K,£13.5K,945,747,0.3%,Shoes,False,Low average views (747) | Low engagement (0.3%) | Growing audience (1.9K)
