Rank,Username,Name,Followers,Category,GMV,Items Sold,Avg Views,Engagement,Previously Invited,AI Score
1,kayemarie53,Kaye Marie,652.1K,Textiles & Soft Furnishings,£26.7K,1.6K,106.8K,7.4%,False,71.5
2,regularjoey0,regularjoey0,11.7K,Textiles & Soft Furnishings,£173.2K,8.1K,3.6K,0.3%,False,50.5
3,samantha.x89,samantha,5.8K,Textiles & Soft Furnishings,£52.5K,4K,1.8K,1.4%,False,45.5
4,kiwimariah,kiwi,190.3K,Womenswear & Underwear,£34.4K,1.8K,3.4K,5.6%,False,42.0
5,carlatokshop,Carla ✨,5.8K,Textiles & Soft Furnishings,£92.6K,6.1K,1.2K,0.4%,False,41.5
6,ticktrovee,Emily,2.6K,Textiles & Soft Furnishings,£50K,2.5K,2.6K,0.4%,False,41.5
7,taylorscholfield,Taylorscholfield,43.9K,Sports & Outdoor,£11.1K,649,5.6K,13.1%,False,41.0
8,ben_approved,Ben Approved 💁🏼‍♂️,20.8K,Beauty & Personal Care,£133.5K,4.7K,1.8K,0.4%,False,40.5
9,team.finds,Team Finds,21.7K,Home Supplies,£116K,7.6K,5.8K,0.3%,False,40.5
10,life.made.easy_,Life Made Easy,5.3K,Household Appliances,£131.1K,3.8K,1.5K,0.2%,False,38.5
11,_thistleflowers,Thistle event decor💀🖤🤟🏼,35.8K,Womenswear & Underwear,£24.8K,1.3K,6.3K,5.3%,False,37.0
12,georgiafoxx11,Georgiafox,149K,Beauty & Personal Care,£39.7K,2.4K,2.3K,1.5%,False,32.0
13,sleep.cult,Sleep Cult,5.6K,Textiles & Soft Furnishings,£32.2K,2K,4K,0.2%,False,31.0
14,alisonjames894,alisonjames894,5.5K,Textiles & Soft Furnishings,£31.4K,2.1K,1.5K,0.4%,False,31.0
15,katieirwinw,Katie Irwin 🎀,3.9K,Textiles & Soft Furnishings,£13.9K,763,3.2K,0.9%,False,31.0
16,mrsninabacon,NINA⚡️,4.6K,Textiles & Soft Furnishings,£18.3K,1.1K,626,1.3%,False,30.0
17,sam_sweet_brummom,Mrs sweet,14K,Home Supplies,£77.7K,4.3K,887,0.5%,False,28.5
18,kirsten_mum_of_3_tts,kirsten_mum_of_3_TTS,20.2K,Textiles & Soft Furnishings,£17.2K,796,420,0.7%,False,28.0
19,tommylogs,tommylogs,1.7K,Textiles & Soft Furnishings,£12.6K,1K,551,0.3%,False,26.0
20,nicola.henny20,Nicola Henshall,4.4K,Automotive & Motorcycle,£43.9K,4.9K,1.6K,0.3%,False,21.0
21,_midnightlyrics7,Victoria Harrington,5.5K,Home Supplies,£28.3K,1.2K,1.2K,0.8%,False,21.0
22,tiajaynebethxo,tiajaynebethxo,4.2K,Home Supplies,£17.4K,685,620,1.1%,False,20.0
23,tom.jerry879,TOM_JERRY,1.6K,Household Appliances,£12.4K,490,696,1.5%,False,20.0
24,neoredalert,Neo Red Alert,27.1K,Kitchenware,£16.5K,1.2K,699,0.3%,False,18.0
25,thegirlybuys,thegirlybuys,4.1K,Beauty & Personal Care,£35.8K,2.3K,782,0.7%,False,16.0
26,mj_maryjane0,MJ,7.6K,Furniture,£25.2K,1.2K,796,0.4%,False,16.0
27,esxx.ldw.6362,Rr68392,4.7K,Furniture,£24K,1.7K,637,0.4%,False,16.0
