Rank,AI Score,Username,Name,Followers,GMV,Items Sold,Avg Views,Engagement,Category,Previously Invited,AI Reasons
1,41.0,taylorscholfield,Taylorscholfield,44.3K,£10.3K,563,5.5K,13.1%,Sports & Outdoor,False,Outstanding engagement (13.1%)
2,40.5,team.finds,Team Finds,22.1K,£123.9K,8.6K,6.7K,0.3%,Home Supplies,False,Strong GMV (£123.9K) | Low engagement (0.3%)
3,38.5,life.made.easy_,Life Made Easy,6K,£120K,3.7K,1.5K,0.2%,Household Appliances,False,Strong GMV (£120K) | Low engagement (0.2%) | Growing audience (6K)
4,38.0,mumtosons,Jane 🧚‍♀️,13.3K,£15.5K,1.1K,502,3.8%,Textiles & Soft Furnishings,False,Low average views (502)
5,37.0,_thistleflowers,Thistle event decor💀🖤🤟🏼,35.9K,£22.7K,1.2K,6.2K,5.2%,Womenswear & Underwear,False,Strong engagement (5.2%)
6,32.0,georgiafoxx11,Georgiafox,149K,£26.4K,1.5K,2.6K,1.6%,Beauty & Personal Care,False,Strong follower base (149K)
7,32.0,rahellimbu,Rahel limbu,300.8K,£17.6K,917,1.4K,1.8%,Kitchenware,False,Strong follower base (300.8K)
8,31.5,msrfinds,msrfinds,6.9K,£79.3K,5.3K,1.3K,0.4%,Shoes,False,Low engagement (0.4%) | Growing audience (6.9K)
9,31.0,alisonjames894,alisonjames894,5.5K,£27.5K,1.8K,1.4K,0.3%,Textiles & Soft Furnishings,False,Low engagement (0.3%) | Growing audience (5.5K)
10,31.0,sleep.cult,Sleep Cult,5.7K,£24.1K,1.4K,3.8K,0.2%,Textiles & Soft Furnishings,False,Low engagement (0.2%) | Growing audience (5.7K)
11,31.0,katieirwinw,Katie Irwin 🎀,4K,£17.1K,1K,2.5K,0.8%,Textiles & Soft Furnishings,False,Low engagement (0.8%) | Growing audience (4K)
12,30.0,mrsninabacon,NINA⚡️,4.8K,£22.5K,1.5K,702,1.4%,Textiles & Soft Furnishings,False,Low average views (702) | Growing audience (4.8K)
13,30.0,twomumsoneplan,twomumsoneplan✨MumLife✨TTS,5.9K,£10.2K,465,405,1.7%,Textiles & Soft Furnishings,False,Low average views (405) | Growing audience (5.9K)
14,28.5,sam_sweet_brummom,Mrs sweet,14K,£77.8K,4.1K,804,0.6%,Home Supplies,False,Low average views (804) | Low engagement (0.6%)
15,28.0,kerryxo67,Kerry💕,14.9K,£22.1K,1K,799,0.7%,Textiles & Soft Furnishings,False,Low average views (799) | Low engagement (0.7%)
16,28.0,righthunsreview,Right Huns Reviews,29.6K,£14.8K,861,404,0.6%,Textiles & Soft Furnishings,False,Low average views (404) | Low engagement (0.6%)
17,27.0,robgb0,RobGB0,141.8K,£21.1K,1.1K,464,1.4%,Home Improvement,False,Low average views (464) | Strong follower base (141.8K)
18,26.0,ticktrovee,Emily,2.7K,£26.7K,1.6K,830,0.3%,Textiles & Soft Furnishings,False,Low average views (830) | Low engagement (0.3%) | Growing audience (2.7K)
19,26.0,tommylogs,tommylogs,1.7K,£12.1K,954,538,0.3%,Textiles & Soft Furnishings,False,Low average views (538) | Low engagement (0.3%) | Growing audience (1.7K)
20,26.0,brittany.g61,Brittany,2.1K,£11.2K,631,385,0.4%,Textiles & Soft Furnishings,False,Low average views (385) | Low engagement (0.4%) | Growing audience (2.1K)
21,21.0,nicola.henny20,Nicola Henshall,4.3K,£35.4K,4.1K,1.6K,0.3%,Automotive & Motorcycle,False,Low engagement (0.3%) | Growing audience (4.3K)
22,21.0,tokkdealz,Tokk Dealz,7.6K,£34.8K,2.5K,6.3K,0.2%,Home Supplies,False,Low engagement (0.2%) | Growing audience (7.6K)
23,20.0,tiajaynebethxo,tiajaynebethxo,4.3K,£16.7K,654,632,1.3%,Home Supplies,False,Low average views (632) | Growing audience (4.3K)
24,18.0,neoredalert,Neo Red Alert,27K,£11.1K,835,832,0.3%,Kitchenware,False,Low average views (832) | Low engagement (0.3%)
25,16.0,thegirlybuys,thegirlybuys,4.1K,£39.1K,2.5K,968,0.6%,Beauty & Personal Care,False,Low average views (968) | Low engagement (0.6%) | Growing audience (4.1K)
26,16.0,mj_maryjane0,MJ,7.7K,£32.9K,1.4K,827,0.4%,Furniture,False,Low average views (827) | Low engagement (0.4%) | Growing audience (7.7K)
27,16.0,honestmumbestie,Your honest mum bestie,4.6K,£29.4K,1.5K,579,0.4%,Womenswear & Underwear,False,Low average views (579) | Low engagement (0.4%) | Growing audience (4.6K)
28,16.0,esxx.ldw.6362,Rr68392,4.8K,£20.9K,1.4K,594,0.3%,Furniture,False,Low average views (594) | Low engagement (0.3%) | Growing audience (4.8K)
29,16.0,glowwithme751,cosmetics corner ✨💅,1.8K,£13.6K,1K,782,0.4%,Shoes,False,Low average views (782) | Low engagement (0.4%) | Growing audience (1.8K)
